timestamp;"Do you run UI5 freestyle apps in production?
(""freestyle"" here mostly means ""core"" UI5 usage.
With some -but no strict!- adherence to Fiori UI-/UX-guidelines.
A question with regard to ""Standard Fiori apps"" comes later in the sequence)";Do you run Fiori Elements apps in production?;"Do you run Standard (Fiori) apps in production?
(""Fiori"" here applies to pre-delivered SAP apps)";What technologies and variants do you use in your productive UI5 freestyle app?;"What variations of and how many productive Standard apps are you running? [delivered by SAP ""as-is"", but with Customizing]";Are you running automated tests for your productive UI5-, FE- and/or Fiori-app?;How do you bootstrap new UI5-Freestyle- and Fiori-apps?;How do you bootstrap new Fiori Elements apps?;What IDEs are you using for developing UI5-based apps (incl Freestyle, Fiori Elements, and Standard)?;How do you deploy your productive apps? [from BAS];"How do you deploy your productive apps? [via BTP's ""Cloud Transport Management""]";How do you deploy your productive apps? [via GitHub Actions];How do you deploy your productive apps? [via GitLab Pipelines];How do you deploy your productive apps? [via BitBucket Pipelines];How do you deploy your productive apps? [from Jenkins];How do you deploy your productive apps? [from the developer's computer];How many UI5 freestyle apps are you running in production?;How many Fiori Elements apps are you running in production?;How many Standard (Fiori) apps are you running in production?;Which open source packages do you use for your UI5 development that were developed specifically for UI5 and are not maintained by SAP?;Which UI5 version are most of your productive apps currently using?;Which deployment model do you primarily use for productive UI5-based apps?;"What is the relationship between the use of SAP GUI and UI5-based Apps (Freestyle, FE, standard Fiori) in production at your org/company/enterprise/area of responsibility?
";What variations of and how many Fiori Element apps are you running in production? [self developed/generated];"What variations of and how many Fiori Element apps are you running in production? [self developed/generated  including ""Breakouts"", aka ""Modifications""; officially referred to as ""App Extensions"", https://ui5.sap.com/#/topic/340cdb2ba97c4843979f905a70a327ee)]";"What variations of and how many Fiori Element apps are you running in production? [delivered by SAP ""as-is"", without code modifications, but eventually with Customizing]";"What variations of and how many Fiori Element apps are you running in production? [delivered by SAP, but modified/extended (""Adaptation Extensions"", https://ui5.sap.com/#/topic/52fc48b479314d0688be24f699778c47)]";What variations of and how many productive Standard apps are you running? [delivered by SAP, but modified with Code];What variations of and how many productive Standard apps are you running? [both: delivered by SAP, but modified with Code and customized];"What variations of and how many productive Standard apps are you running? [delivered by SAP ""as-is"", 1:1 in Production]"
3.1.2024 20:53:08;Yes;Yes;Yes;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries, none of the above, simply ""Freestyle""";1-5;Unit Tests (QUnit), Integration Tests (OPA5);Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System, to BTP;;;;;;;30;3;100;Moment;1.108 to 1.120;SAP On-Premise ECC, SAP On-Premise S/4, BTP, Hybrid;2;1-5;;;;11-15;6-10;20+
3.2.2024 7:06:01;Yes;No;Yes;"none of the above, simply ""Freestyle"", Not sure if the question will Côme later: we run in sapui5 1.71 for almost all apps, except One is on 1.38";1-5;none;copy existing app;We don’t ;Visual Studio Code (VS Code);;;;to an on-premise SAP System;to an on-premise SAP System;to an on-premise SAP System;to an on-premise SAP System;About 40-50;;;;1.60 to 1.71;SAP On-Premise ECC;2;;;;;1-5;1-5;
3.4.2024 2:03:32;Yes;Yes;Yes;"OData v2 ""Smart Controls""";;none;"""Easy UI5""-Generator";Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP;to BTP;;;;;;;5;2;200;;1.108 to 1.120;SAP S/4 Public Cloud, BTP;4;1-5;;;;;;20+
3.4.2024 10:20:26;Yes;No;Yes;"UI5 Libraries, none of the above, simply ""Freestyle""";11-15;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System;;;;;;;;;;;1.96 to 1.108;SAP On-Premise ECC;1;;;;;1-5;;
3.5.2024 10:02:54;Yes;Yes;Yes;"Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), OData v2 ""Smart Controls"", none of the above, simply ""Freestyle""";1-5;none;"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code)";Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);to an on-premise SAP System;;to an on-premise SAP System;;;;to an on-premise SAP System;25;5;;;1.85 to 1.96;SAP On-Premise ECC, SAP On-Premise S/4;1;1-5;1-5;1-5;;1-5;;20+
3.7.2024 7:20:15;Yes;Yes;No;"OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries, TypeScript";;Unit Tests (QUnit), Integration Tests (OPA5);own freestyle ui5 + TypeScript template (git repository);Fiori Tools (in BAS or VS Code);Visual Studio Code (VS Code);;to BTP;;to BTP;;;to BTP;70+;;;;1.96 to 1.108;SAP On-Premise ECC;3;11-15;1-5;;;;;
3.8.2024 7:34:46;Yes;No;No;"UI5 Web Components, Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), OData v2 ""Smart Controls"", UI5 Libraries, XML Freestyle views";;Integration Tests (OPA5), end-to-end Tests (wdi5);"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code), copy existing app";;Business Application Studio (BAS) in BTP;to BTP;;;;;;;;;;;1.108 to 1.120;BTP;4;;;;;;;
3.12.2024 18:14:53;No;Yes;Yes;;6-10, 11-15;none;Fiori Tools (in BAS or VS Code), copy existing app;Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System;;;;;;to an on-premise SAP System;;;;;1.108 to 1.120;SAP On-Premise S/4, BTP;2;1-5;1-5;;;6-10;6-10;16-20
4.5.2024 2:25:39;Yes;Yes;Yes;"UI5 Web Components, Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries, External libraries and map libs";11-15;Unit Tests (QUnit), Integration Tests (OPA5), end-to-end Tests (wdi5);"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code), you built your own generator";Fiori Tools (in BAS or VS Code), you built your own generator;Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code), Eclipse, SAP WebIDE;to an on-premise SAP System, to a SAP System in der Cloud, to BTP, to Azure;;;;;;;A lot;More than 10;A lot;;1.96 to 1.108;SAP On-Premise ECC, SAP On-Premise S/4, SAP S/4 Private Cloud, BTP, Hybrid;2;1-5;;6-10;1-5;;;11-15
4.5.2024 21:00:44;Yes;Yes;Yes;"Flexible Programming Model (""FPM"", containing Building Blocks/Macros (""OData v4 Smart Controls"")), Flexibility: UI Adaptations (https://ui5.sap.com/sdk/#/topic/f1430c0337534d469da3a56307ff76af.html), OData v2 ""Smart Controls"", Reuse Components, UI5 Libraries";20+;none;"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code)";Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System, to a SAP System in der Cloud, to BTP;to an on-premise SAP System, to a SAP System in der Cloud, to BTP;;;;;to an on-premise SAP System, to a SAP System in der Cloud, to BTP;At some customers around 100 apps, others 20 to 50. Depends from customer to customer.;25 to 50, depending on the customer ;200 to 500 depending on customer ;None;1.96 to 1.108;SAP On-Premise ECC, SAP On-Premise S/4, SAP S/4 Private Cloud, BTP, Hybrid, Other Cloud System;3;20+;16-20;6-10;11-15;11-15;11-15;20+
4.15.2024 14:14:01;Yes;No;No;UI5 Libraries;;none;"""Easy UI5""-Generator, Fiori Tools (in BAS or VS Code)";;Visual Studio Code (VS Code);;;;;;;to an on-premise SAP System, to a SAP System in der Cloud;;;;;1.60 to 1.71;SAP On-Premise ECC;1;;;;;;;
4.18.2024 19:56:56;Yes;Yes;Yes;"OData v2 ""Smart Controls"", UI5 Libraries";6-10;none;Fiori Tools (in BAS or VS Code);Fiori Tools (in BAS or VS Code);Business Application Studio (BAS) in BTP, Visual Studio Code (VS Code);to an on-premise SAP System;;;;;;;;;;;1.96 to 1.108;SAP On-Premise ECC, SAP On-Premise S/4;2;6-10;1-5;11-15;1-5;1-5;1-5;1-5
